,Unnamed: 0,SEASON_ID,LEAGUE_ID,TEAM_ABBREVIATION,TEAM_ID,PLAYER_FULLNAME,PLAYER_COUNT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,MIN_PG,FGM_PG,FGA_PG,FG_PCT_PG,FG3M_PG,FG3A_PG,FG3_PCT_PG,FTM_PG,FTA_PG,FT_PCT_PG,OREB_PG,DREB_PG,REB_PG,AST_PG,STL_PG,BLK_PG,TOV_PG,PF_PG,PTS_PG,Possessions,Pace,TS%,eFG%
0,0,1998,0,ATL,1610612737,"MOOKIE BLAYLOCK, TYRONE CORBIN, CHRIS CRAWFORD, LAPHONSO ELLIS, ED GRAY, ALAN HENDERSON, ANTHONY JOHNSON, GRANT LONG, ROSHOWN MCLEOD, DIKEMBE MUTOMBO, JEFF SHEPPARD, STEVEN SMITH, MARK WEST, SHAMMOND WILLIAMS",14,12075.0,1539,3760,5.232,197,644,2.599,1040,1422,9.909,676,1499,2175,782,346,260,706,987,4315,297.9,38.6,95.8,5.232,4.800000000000001,15.6,2.599,27.0,36.8,9.909,15.9,36.0,52.0,19.1,8.200000000000001,5.5,17.5,24.4,109.3,4415.68,17.553013664596275,0.4919419565494974,0.43550531914893614
1,1,1998,0,BOS,1610612738,"KENNY ANDERSON, DANA BARROS, TONY BATTIE, BRUCE BOWEN, ANDREW DECLERCQ, MARLON GARNETT, POPEYE JONES, WALTER MCCARTY, RON MERCER, GREG MINOR, PAUL PIERCE, ERIC RILEY, DWAYNE SCHINTZIUS, ANTOINE WALKER",14,11010.0,1638,3803,5.71,258,725,2.674,684,967,10.042,585,1284,1869,985,423,235,693,1061,4218,290.5,41.1,96.5,5.71,6.0,17.4,2.674,18.3,25.9,10.042,16.5,33.6,50.1,25.5,11.1,5.9,18.6,30.5,106.6,4336.48,18.905634877384195,0.4987607840169518,0.464633184328162
2,2,1998,0,CHH,1610612766,"B.J. ARMSTRONG, CHUCKY BROWN, WILLIE BURTON, DERRICK COLEMAN, RICKY DAVIS, BRAD MILLER, CHUCK PERSON, BOBBY PHILLS, ELDRIDGE RECASNER, J.R. REID, CHARLES SHACKLEFORD, DAVID WESLEY, TRAVIS WILLIAMS, JOE WOLF",14,9709.0,1315,2955,5.672,239,655,3.508,741,973,9.73,359,1172,1531,904,308,154,619,886,3610,272.4,36.2,81.1,5.672,5.5,15.1,3.508,21.8,29.2,9.73,11.7,35.1,46.4,23.4,8.2,4.3,16.900000000000002,27.9,99.3,3643.12,18.01109898032753,0.5335311783206035,0.48544839255499156
3,3,1998,0,CHI,1610612741,"BRENT BARRY, COREY BENJAMIN, MARIO BENNETT, KEITH BOOTH, RANDY BROWN, MARK BRYANT, CORY CARR, KORNEL DAVID, RON HARPER, CHARLES R. JONES, TONI KUKOC, RUSTY LARUE, ANDREW LANG, DICKEY SIMPKINS, BILL WENNINGTON",15,12075.0,1539,3837,5.712,177,612,3.034,840,1185,10.762,573,1394,1967,1017,436,169,730,1112,4095,310.4,38.8,98.4,5.712,4.7,16.1,3.034,21.3,29.9,10.762,14.9,35.8,50.7,25.6,11.3,4.8,18.7,29.4,103.5,4515.4,17.94941614906832,0.46978248898678415,0.42415949960906957
4,4,1998,0,CLE,1610612739,"DEREK ANDERSON, MITCHELL BUTLER, DANNY FERRY, LITTERIAL GREEN, CEDRIC HENDERSON, ZYDRUNAS ILGAUSKAS, SHAWN KEMP, BREVIN KNIGHT, ANTONIO LANG, JOHNNY NEWMAN, WESLEY PERSON, VITALY POTAPENKO, RYAN STACK, BOB SURA",14,10668.0,1409,3217,5.879,180,521,2.694,916,1199,9.605,361,1117,1478,1035,392,171,678,1034,3914,303.1,40.2,91.0,5.879,4.2,11.5,2.694,26.9,36.6,9.605,13.2,33.9,47.3,25.7,10.4,6.1,18.8,31.5,111.5,4061.56,18.274735658042744,0.5226248210737711,0.4659620764687597
5,5,1998,0,DAL,1610612742,"CHRIS ANSTEY, SHAWN BRADLEY, CEDRIC CEBALLOS, HUBERT DAVIS, MICHAEL FINLEY, A.C. GREEN, STEVE NASH, DIRK NOWITZKI, ROBERT PACK, ERICK STRICKLAND, BRUNO SUNDOV, GARY TRENT, SAMAKI WALKER, HOT ROD WILLIAMS",14,12075.0,1749,4033,5.726,202,595,2.06,881,1210,9.52,645,1478,2123,921,352,292,651,1065,4581,304.8,43.9,102.4,5.726,5.0,15.1,2.06,22.9,31.3,9.52,16.4,37.5,53.5,23.5,8.7,6.9,17.5,27.9,115.5,4571.4,18.172024844720497,0.5017085030884479,0.45871559633027525
6,6,1998,0,DEN,1610612743,"CORY ALEXANDER, CHAUNCEY BILLUPS, KEON CLARK, DANNY FORTSON, RAEF LAFRENTZ, KELLY MCCARTY, ANTONIO MCDYESS, LOREN MEYER, BRYANT STITH, JOHNNY TAYLOR, NICK VAN EXEL, ERIC WASHINGTON, TYSON WHEELER, ERIC WILLIAMS, MONTY WILLIAMS",15,11760.0,1654,3926,6.516,302,921,3.94,1005,1316,9.875,627,1358,1985,968,364,268,701,1107,4615,307.2,42.6,101.5,6.516,8.799999999999999,24.6,3.94,26.5,35.9,9.875,17.3,34.9,51.9,24.2,9.2,7.399999999999999,17.8,30.3,120.6,4579.04,18.68995918367347,0.5122041091755012,0.4597554763117677
7,7,1998,0,DET,1610612765,"COREY BECK, JUD BUECHLER, BISON DELE, JOE DUMARS, STEVE HENSON, GRANT HILL, LINDSEY HUNTER, CHRISTIAN LAETTNER, MARK MACON, ERIC MONTROSS, MIKKI MOORE, CHARLES O'BANNON, KHALID REEVES, DON REID, JERRY STACKHOUSE, LOY VAUGHT, JEROME WILLIAMS, KORLEONE YOUNG",18,12050.0,1660,3716,8.445,248,679,2.728,950,1283,13.21,605,1412,2017,1009,444,208,738,1139,4518,312.6,42.0,95.5,8.445,6.1,17.5,2.728,25.3,33.5,13.21,15.9,34.1,49.6,25.4,11.6,5.3,19.5,29.9,115.4,4413.52,17.5808265560166,0.5277396204199489,0.48008611410118407
8,8,1998,0,GSW,1610612744,"MUGGSY BOGUES, JASON CAFFEY, BIMBO COLES, TERRY CUMMINGS, ERICK DAMPIER, TONY DELK, DUANE FERRELL, ADONAL FOYLE, ANTAWN JAMISON, DONYELL MARSHALL, CHRIS MILLS, FELTON SPENCER, JOHN STARKS",13,12125.0,1730,4173,5.182,162,565,2.711,794,1175,8.843,816,1559,2375,1037,414,221,729,1270,4416,275.1,38.3,93.4,5.182,3.4,12.0,2.711,18.1,26.8,8.843,18.6,34.7,53.3,23.1,9.2,5.1,16.5,29.1,97.9,4603.0,18.22218556701031,0.47078891257995736,0.43398034986820033
9,9,1998,0,HOU,1610612745,"CHARLES BARKLEY, MATT BULLARD, ANTOINE CARR, MICHAEL DICKERSON, BRYCE DREW, OTHELLA HARRINGTON, EDDIE JOHNSON, MATT MALONEY, ANTHONY MILLER, CUTTINO MOBLEY, HAKEEM OLAJUWON, SCOTTIE PIPPEN, BRENT PRICE, RODRICK RHODES, STANLEY ROBERTS",15,11569.0,1674,3626,6.198,291,803,2.791,842,1159,10.381,529,1505,2034,1026,371,257,757,919,4481,290.3,40.9,91.4,6.198,6.5,18.5,2.791,21.4,29.200000000000003,10.381,13.8,36.9,50.8,24.5,8.5,6.0,20.4,25.2,109.5,4363.96,18.106152649321462,0.5417122022456696,0.5017926089354661
